customer_id,senior_citizen,partner,dependents,tenure,contract,paperless_billing,payment_method,internet_service,tech_support,monthly_charges,total_charges,churn
CUST-000211,1,Yes,No,52,Month-to-month,No,Mailed check,No,Yes,51.2,2650.34,1
CUST-000212,0,No,No,57,Month-to-month,No,Electronic check,Fiber optic,No,77.63,4437.69,1
CUST-000213,0,Yes,Yes,32,Month-to-month,No,Electronic check,Fiber optic,No,82.84,2673.76,1
CUST-000214,0,No,Yes,53,Two year,Yes,Electronic check,No,No,116.56,6230.6,0
CUST-000215,0,Yes,No,19,Month-to-month,Yes,Electronic check,Fiber optic,No,55.49,1124.71,1
CUST-000216,0,Yes,No,5,Month-to-month,Yes,Electronic check,DSL,Yes,45.4,243.59,1
CUST-000217,0,Yes,Yes,7,Two year,Yes,Electronic check,DSL,No,20.06,226.1,1
CUST-000218,1,No,Yes,32,Month-to-month,No,Electronic check,No,Yes,111.57,3574.89,0
CUST-000219,0,Yes,No,65,One year,Yes,Bank transfer,Fiber optic,No,77.64,5100.47,0
CUST-000220,0,Yes,No,9,Month-to-month,Yes,Credit card,DSL,No,78.59,728.75,1
CUST-000221,0,Yes,Yes,33,Two year,Yes,Electronic check,No,Yes,120.0,3932.54,0
CUST-000222,0,Yes,No,51,Month-to-month,Yes,Bank transfer,No,No internet service,74.75,3821.31,1
CUST-000223,0,No,No,14,Month-to-month,No,Bank transfer,No,No,25.93,388.18,0
CUST-000224,0,No,Yes,52,Month-to-month,No,Bank transfer,Fiber optic,Yes,59.12,3072.63,0
CUST-000225,0,Yes,No,22,One year,No,Bank transfer,No,No,35.76,807.36,0
CUST-000226,0,Yes,No,59,One year,Yes,Mailed check,No,Yes,53.12,3177.35,0
CUST-000227,0,Yes,No,42,Month-to-month,Yes,Credit card,DSL,Yes,52.92,2221.47,0
CUST-000228,0,No,No,39,Month-to-month,No,Electronic check,No,No internet service,47.39,1701.02,0
CUST-000229,0,Yes,No,12,Two year,No,Mailed check,Fiber optic,No,23.2,362.31,0
CUST-000230,0,No,No,33,Month-to-month,No,Bank transfer,No,No,112.78,3706.86,1
CUST-000231,0,Yes,Yes,62,Month-to-month,Yes,Credit card,Fiber optic,No,73.97,4544.98,0
CUST-000232,0,Yes,No,1,One year,No,Mailed check,Fiber optic,No internet service,58.24,2.03,1
CUST-000233,0,No,No,55,Month-to-month,Yes,Credit card,DSL,No internet service,87.73,4808.33,0
CUST-000234,1,No,No,35,Month-to-month,Yes,Bank transfer,DSL,Yes,79.13,2741.41,0
CUST-000235,0,No,No,52,Month-to-month,No,Bank transfer,DSL,Yes,73.27,3773.19,1
CUST-000236,0,No,No,48,Month-to-month,No,Credit card,Fiber optic,No,85.55,4072.29,0
CUST-000237,0,No,No,31,Month-to-month,Yes,Bank transfer,No,No,69.02,2166.11,1
CUST-000238,0,No,Yes,22,One year,No,Mailed check,DSL,No,85.11,1973.94,0
CUST-000239,0,Yes,No,45,One year,Yes,Bank transfer,DSL,Yes,87.59,3982.58,0
CUST-000240,0,No,No,10,Month-to-month,Yes,Electronic check,Fiber optic,No,69.88,754.93,1
CUST-000241,1,No,No,42,Two year,No,Credit card,DSL,Yes,58.39,2433.51,0
CUST-000242,0,No,No,6,Month-to-month,No,Credit card,DSL,No,110.91,670.69,1
CUST-000243,0,No,No,47,One year,Yes,Bank transfer,DSL,No,50.66,2402.34,0
CUST-000244,0,Yes,No,45,Month-to-month,No,Electronic check,Fiber optic,Yes,76.74,3420.32,0
CUST-000245,0,No,No,6,One year,Yes,Electronic check,Fiber optic,No internet service,77.42,443.23,0
CUST-000246,0,No,No,55,Month-to-month,Yes,Electronic check,No,No,46.71,2611.78,1
CUST-000247,1,No,No,30,Month-to-month,No,Electronic check,DSL,No,40.77,1277.61,0
CUST-000248,0,Yes,Yes,57,Month-to-month,No,Bank transfer,DSL,No internet service,54.38,3103.03,0
CUST-000249,0,No,No,3,Month-to-month,Yes,Credit card,Fiber optic,Yes,50.23,90.93,1
CUST-000250,0,Yes,No,13,Month-to-month,Yes,Bank transfer,No,Yes,21.26,261.6,0
CUST-000251,0,No,No,36,One year,No,Mailed check,Fiber optic,Yes,45.46,1564.49,0
CUST-000252,1,No,No,13,Two year,No,Credit card,No,Yes,72.99,952.63,0
CUST-000253,0,No,Yes,24,Month-to-month,Yes,Credit card,Fiber optic,No internet service,102.98,2484.29,1
CUST-000254,1,No,Yes,48,Two year,Yes,Bank transfer,No,No internet service,81.63,3904.7,0
CUST-000255,0,No,No,10,One year,Yes,Mailed check,Fiber optic,No,18.0,192.09,0
CUST-000256,0,Yes,No,49,Two year,Yes,Bank transfer,DSL,No,84.24,4148.61,0
CUST-000257,0,Yes,No,7,One year,Yes,Mailed check,DSL,No internet service,48.26,350.66,0
CUST-000258,1,No,No,12,One year,No,Electronic check,Fiber optic,Yes,78.59,883.0,0
CUST-000259,0,Yes,No,42,Month-to-month,Yes,Bank transfer,No,Yes,64.58,2699.7,0
CUST-000260,0,No,No,57,One year,No,Bank transfer,Fiber optic,No internet service,59.22,3396.03,0
CUST-000261,0,No,No,12,Two year,Yes,Electronic check,DSL,No,61.93,822.1,0
CUST-000262,0,No,No,21,Month-to-month,No,Credit card,DSL,Yes,64.33,1337.33,0
CUST-000263,0,No,No,67,Month-to-month,No,Credit card,Fiber optic,No,105.33,7084.65,1
CUST-000264,1,Yes,Yes,72,Month-to-month,Yes,Bank transfer,No,Yes,64.41,4681.43,0
CUST-000265,0,No,No,42,Two year,Yes,Electronic check,Fiber optic,No,97.57,4088.11,0
CUST-000266,0,No,No,32,Month-to-month,No,Electronic check,Fiber optic,No,93.2,3039.82,1
CUST-000267,0,No,No,25,One year,Yes,Bank transfer,Fiber optic,Yes,85.01,2185.36,0
CUST-000268,0,Yes,Yes,44,Two year,Yes,Credit card,No,No,18.0,861.02,0
CUST-000269,0,Yes,No,43,Two year,Yes,Mailed check,No,No,98.5,4258.42,0
CUST-000270,0,No,No,21,Month-to-month,Yes,Electronic check,DSL,No,51.26,1194.47,0
CUST-000271,0,Yes,No,1,One year,Yes,Electronic check,Fiber optic,No,86.47,55.71,1
CUST-000272,1,No,Yes,11,Two year,No,Electronic check,No,No,35.82,500.22,0
CUST-000273,0,Yes,No,69,Month-to-month,No,Bank transfer,No,Yes,29.45,2070.46,0
CUST-000274,0,No,No,30,One year,Yes,Mailed check,Fiber optic,Yes,120.0,3667.02,0
CUST-000275,0,No,No,35,Month-to-month,Yes,Electronic check,DSL,No,36.29,1254.15,1
CUST-000276,1,No,Yes,34,One year,Yes,Mailed check,Fiber optic,No,99.38,3421.14,0
CUST-000277,1,No,Yes,57,Month-to-month,Yes,Credit card,Fiber optic,Yes,68.55,3978.7,0
